nombre,tipo
El Sagrario,1
Sucre,1
El Valle,1
San Sebastián,1
Punzara,1
Carigán,1
Chantaco,2
Chuquiribamba,2
El Cisne,2
Gualel,2
Jimbilla,2
Malacatos,2
Quinara,2
San Lucas,2
San Pedro de Vilcabamba,2
Santiago,2
Taquil,2
Vilcabamba,2
Yangana,2

